Classifier,Success Rate,Classifier Prediction,Test Labels,Sub Labels
LDA,0.6,[1 1 1 1 1 2 3 1 1 2 1 3 1 1 2],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[  0 255 254   0 254   0   0   0   0   0 254   1 254   0   0]
LDA CV,0.6333333333333333,[],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[]
KNN-5,0.6,[2 1 3 1 1 2 1 1 1 2 1 3 3 1 2],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[  1 255   0   0 254   0 254   0   0   0 254   1   0   0   0]
KNN-7,0.5333333333333333,[2 1 3 1 1 2 2 1 1 2 2 3 1 1 2],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[  1 255   0   0 254   0 255   0   0   0 255   1 254   0   0]
SVC,0.5333333333333333,[2 1 1 1 1 2 3 1 1 2 2 3 1 1 2],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[  1 255 254   0 254   0   0   0   0   0 255   1 254   0   0]
SVC CV,0.6333333333333333,[],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[]
NB,0.5333333333333333,[1 1 2 1 1 2 2 1 1 2 2 3 3 1 3],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[  0 255 255   0 254   0 255   0   0   0 255   1   0   0   1]
LR,0.6666666666666666,[1 1 1 1 1 2 3 1 1 2 1 3 3 1 2],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[  0 255 254   0 254   0   0   0   0   0 254   1   0   0   0]
LR CV,0.6166666666666666,[],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[]
LDA GA,0.2,[2 1 3 1 2 2 1 2 2 3 1 3 2 2 3],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[  1 255   0   0 255   0 254   1   1   1 254   1 255   1   1]
LDA GA CV,0.4666666666666667,[],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[]
KNN5 GA,0.4,[3 1 1 1 1 2 2 1 1 2 1 3 2 1 1],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[  2 255 254   0 254   0 255   0   0   0 254   1 255   0 255]
KNN5 GA CV,0.5,[],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[]
KNN7 GA,0.26666666666666666,[3 1 1 2 3 2 1 1 3 3 1 2 1 3 1],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[  2 255 254   1   0   0 254   0   2   1 254   0 254   2 255]
KNN7 GA CV,0.36666666666666664,[],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[]
SVC GA,0.4666666666666667,[2 1 1 1 1 3 1 1 1 2 2 2 2 1 2],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[  1 255 254   0 254   1 254   0   0   0 255   0 255   0   0]
SVC GA CV,0.5333333333333334,[],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[]
NB GA,0.5333333333333333,[1 1 1 1 1 3 3 1 1 3 1 1 3 1 2],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[  0 255 254   0 254   1   0   0   0   1 254 255   0   0   0]
NB GA CV,0.5666666666666667,[],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[]
LR GA,0.4,[2 1 1 1 1 2 1 1 1 2 2 3 2 1 1],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[  1 255 254   0 254   0 254   0   0   0 255   1 255   0 255]
LR GA CV,0.5333333333333334,[],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[]
MV,0.4666666666666667,[2, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 3, 1, 1, 2],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[ 1 -1 -2  0 -2  0 -1  0  0  0 -1  1 -2  0  0]
MV_GA,0.4,[3, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 3, 2, 1, 1],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[ 2 -1 -2  0 -2  0 -2  0  0  0 -2  1 -1  0 -1]
MV_ALL,0.4666666666666667,[2, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 3, 1, 1, 2],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[ 1 -1 -2  0 -2  0 -1  0  0  0 -1  1 -2  0  0]
STACKING,0.5333333333333333,[1 1 1 1 1 1 2 1 1 2 1 3 3 1 2],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[  0 255 254   0 254 255 255   0   0   0 254   1   0   0   0]
OSTACKING,0.5333333333333333,[2 1 1 1 1 2 3 1 1 2 2 3 1 1 2],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[  1 255 254   0 254   0   0   0   0   0 255   1 254   0   0]
OSTACKING GA,0.4666666666666667,[1 1 1 1 1 3 1 1 1 3 1 2 2 1 2],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[  0 255 254   0 254   1 254   0   0   1 254   0 255   0   0]
OSTACKING ALL,0.4666666666666667,[2 1 1 1 1 2 2 1 1 2 2 3 2 1 2],[1 2 3 1 3 2 3 1 1 2 3 2 3 1 2],[  1 255 254   0 254   0 255   0   0   0 255   1 255   0   0]
