Classifier,Success Rate,Classifier Prediction,Test Labels,Sub Labels
LDA,0.6,[2 3 1 1 1 1 3 3 2 2 2 2 3 1 1],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[  0   0   0   0 254 255   0   0   1   0 255   0   2   0 255]
LDA CV,0.6333333333333333,[],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[]
KNN-5,0.5333333333333333,[2 3 1 1 2 1 2 1 2 2 1 2 1 2 2],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[  0   0   0   0 255 255 255 254   1   0 254   0   0   1   0]
KNN-7,0.4666666666666667,[2 3 1 1 2 1 2 1 2 1 1 2 1 2 2],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[  0   0   0   0 255 255 255 254   1 255 254   0   0   1   0]
SVC,0.5333333333333333,[2 3 1 1 2 1 3 2 2 2 1 2 1 2 1],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[  0   0   0   0 255 255   0 255   1   0 254   0   0   1 255]
SVC CV,0.6833333333333333,[],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[]
NB,0.6666666666666666,[2 3 1 1 1 1 3 3 2 2 1 2 1 2 2],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[  0   0   0   0 254 255   0   0   1   0 254   0   0   1   0]
LR,0.6,[2 3 1 1 1 1 3 3 2 2 2 2 3 1 1],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[  0   0   0   0 254 255   0   0   1   0 255   0   2   0 255]
LR CV,0.6166666666666666,[],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[]
LDA GA,0.26666666666666666,[2 2 1 2 2 3 2 1 2 1 1 2 1 2 1],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[  0 255   0   1 255   1 255 254   1 255 254   0   0   1 255]
LDA GA CV,0.6,[],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[]
KNN5 GA,0.4666666666666667,[2 3 1 3 3 1 1 3 2 3 1 3 1 1 1],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[  0   0   0   2   0 255 254   0   1   1 254   1   0   0 255]
KNN5 GA CV,0.5166666666666667,[],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[]
KNN7 GA,0.4,[3 2 1 3 3 2 3 3 3 3 1 3 1 2 1],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[  1 255   0   2   0   0   0   0   2   1 254   1   0   1 255]
KNN7 GA CV,0.5166666666666667,[],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[]
SVC GA,0.5333333333333333,[2 2 1 3 3 2 3 3 2 3 3 3 1 2 1],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[  0 255   0   2   0   0   0   0   1   1   0   1   0   1 255]
SVC GA CV,0.65,[],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[]
NB GA,0.4666666666666667,[2 3 1 3 2 1 3 3 2 2 2 2 3 2 1],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[  0   0   0   2 255 255   0   0   1   0 255   0   2   1 255]
NB GA CV,0.6833333333333333,[],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[]
LR GA,0.4,[3 3 1 2 3 2 2 3 2 3 1 2 2 2 1],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[  1   0   0   1   0   0 255   0   1   1 254   0   1   1 255]
LR GA CV,0.6500000000000001,[],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[]
MV,0.5333333333333333,[2, 3, 1, 1, 2, 1, 3, 3, 2, 2, 2, 2, 3, 2, 1],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[ 0  0  0  0 -1 -1  0  0  1  0 -1  0  2  1 -1]
MV_GA,0.4666666666666667,[2, 3, 1, 2, 2, 2, 2, 3, 2, 3, 1, 2, 1, 2, 1],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[ 0  0  0  1 -1  0 -1  0  1  1 -2  0  0  1 -1]
MV_ALL,0.6,[2, 3, 1, 1, 2, 1, 3, 3, 2, 2, 2, 2, 1, 2, 1],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[ 0  0  0  0 -1 -1  0  0  1  0 -1  0  0  1 -1]
STACKING,0.5333333333333333,[2 3 1 1 2 1 3 2 2 2 2 2 2 1 1],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[  0   0   0   0 255 255   0 255   1   0 255   0   1   0 255]
OSTACKING,0.6,[2 3 1 1 2 1 3 3 2 2 1 2 1 2 1],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[  0   0   0   0 255 255   0   0   1   0 254   0   0   1 255]
OSTACKING GA,0.4,[2 2 1 3 3 2 2 3 2 3 1 2 2 2 1],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[  0 255   0   2   0   0 255   0   1   1 254   0   1   1 255]
OSTACKING ALL,0.5333333333333333,[2 3 1 1 2 1 3 3 2 3 1 2 1 2 1],[2 3 1 1 3 2 3 3 1 2 3 2 1 1 2],[  0   0   0   0 255 255   0   0   1   1 254   0   0   1 255]
