Classifier,Success Rate,Classifier Prediction,Test Labels,Sub Labels
LDA,0.6,[2 1 2 2 1 3 2 2 1 3 1 2 2 1 3],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[255   0   0   0   0   1   1 255 255   0   0   0 255   0   0]
LDA CV,0.6333333333333333,[],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[]
KNN-5,0.6,[2 1 2 3 1 3 1 3 1 2 1 2 1 1 3],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[255   0   0   1   0   1   0   0 255 255   0   0 254   0   0]
KNN-7,0.6,[2 1 2 2 1 3 1 2 1 2 1 2 1 1 3],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[255   0   0   0   0   1   0 255 255 255   0   0 254   0   0]
SVC,0.5333333333333333,[2 3 2 2 1 3 3 2 1 3 1 2 2 1 3],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[255   2   0   0   0   1   2 255 255   0   0   0 255   0   0]
SVC CV,0.6166666666666666,[],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[]
NB,0.6666666666666666,[1 1 2 3 1 3 1 3 1 3 1 2 1 1 3],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[254   0   0   1   0   1   0   0 255   0   0   0 254   0   0]
LR,0.4666666666666667,[2 2 2 2 3 3 2 2 1 3 1 2 2 1 3],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[255   1   0   0   2   1   1 255 255   0   0   0 255   0   0]
LR CV,0.6333333333333333,[],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[]
LDA GA,0.6,[1 1 2 3 1 3 1 3 2 3 1 3 2 1 2],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[254   0   0   1   0   1   0   0   0   0   0   1 255   0 255]
LDA GA CV,0.7,[],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[]
KNN5 GA,0.6,[2 1 2 2 1 2 1 2 1 2 1 2 2 1 2],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[255   0   0   0   0   0   0 255 255 255   0   0 255   0 255]
KNN5 GA CV,0.6833333333333333,[],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[]
KNN7 GA,0.4666666666666667,[2 1 1 2 1 2 1 2 1 2 1 3 1 1 2],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[255   0 255   0   0   0   0 255 255 255   0   1 254   0 255]
KNN7 GA CV,0.6000000000000001,[],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[]
SVC GA,0.6666666666666666,[2 1 3 2 1 2 1 3 3 2 1 2 2 1 3],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[255   0   1   0   0   0   0   0   1 255   0   0 255   0   0]
SVC GA CV,0.7166666666666667,[],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[]
NB GA,0.6,[1 1 3 3 1 3 1 2 1 3 1 2 3 1 3],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[254   0   1   1   0   1   0 255 255   0   0   0   0   0   0]
NB GA CV,0.6333333333333334,[],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[]
LR GA,0.5333333333333333,[1 1 2 1 1 3 1 2 2 2 1 3 2 1 3],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[254   0   0 255   0   1   0 255   0 255   0   1 255   0   0]
LR GA CV,0.5666666666666667,[],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[]
MV,0.5333333333333333,[2, 3, 2, 2, 1, 3, 3, 2, 1, 3, 1, 2, 2, 1, 3],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[-1  2  0  0  0  1  2 -1 -1  0  0  0 -1  0  0]
MV_GA,0.6666666666666666,[2, 1, 3, 2, 1, 3, 1, 3, 2, 2, 1, 2, 2, 1, 3],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[-1  0  1  0  0  1  0  0  0 -1  0  0 -1  0  0]
MV_ALL,0.6666666666666666,[2, 1, 3, 2, 1, 3, 1, 3, 1, 3, 1, 2, 2, 1, 3],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[-1  0  1  0  0  1  0  0 -1  0  0  0 -1  0  0]
STACKING,0.4666666666666667,[2 3 3 3 1 3 3 2 1 3 1 2 3 1 3],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[255   2   1   1   0   1   2 255 255   0   0   0   0   0   0]
OSTACKING,0.4666666666666667,[2 3 2 2 2 3 3 2 1 3 1 2 1 1 3],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[255   2   0   0   1   1   2 255 255   0   0   0 254   0   0]
OSTACKING GA,0.6666666666666666,[2 1 2 2 1 3 1 3 1 2 1 2 1 1 3],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[255   0   0   0   0   1   0   0 255 255   0   0 254   0   0]
OSTACKING ALL,0.6,[2 1 2 2 1 3 2 2 1 3 1 2 1 1 3],[3 1 2 2 1 2 1 3 2 3 1 2 3 1 3],[255   0   0   0   0   1   1 255 255   0   0   0 254   0   0]
