Classifier,Success Rate,Classifier Prediction,Test Labels,Sub Labels
LDA,0.6,[3 1 3 2 2 2 3 3 1 3 1 1 3 3 1],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[  1   0   2   0   1   0   0   0 254   1   0 255   0   0   0]
LDA CV,0.4833333333333333,[],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[]
KNN-5,0.26666666666666666,[3 3 3 2 3 1 3 1 2 3 2 1 3 1 1],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[  1   2   2   0   2 255   0 254 255   1   1 255   0 254   0]
KNN-7,0.3333333333333333,[3 3 3 2 2 2 3 3 2 3 2 1 1 2 1],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[  1   2   2   0   1   0   0   0 255   1   1 255 254 255   0]
SVC,0.26666666666666666,[3 3 3 2 3 2 3 2 1 3 2 3 1 1 1],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[  1   2   2   0   2   0   0 255 254   1   1   1 254 254   0]
SVC CV,0.41666666666666663,[],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[]
NB,0.3333333333333333,[3 2 1 2 2 2 2 2 2 3 2 1 3 1 1],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[  1   1   0   0   1   0 255 255 255   1   1 255   0 254   0]
LR,0.5333333333333333,[3 1 1 2 3 2 3 2 1 3 1 1 3 1 1],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[  1   0   0   0   2   0   0 255 254   1   0 255   0 254   0]
LR CV,0.4833333333333333,[],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[]
LDA GA,0.4666666666666667,[2 1 2 2 1 1 2 2 3 3 3 2 1 1 1],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[  0   0   1   0   0 255 255 255   0   1   2   0 254 254   0]
LDA GA CV,0.6333333333333334,[],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[]
KNN5 GA,0.3333333333333333,[1 1 2 1 1 1 3 1 3 1 2 3 1 3 3],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[255   0   1 255   0 255   0 254   0 255   1   1 254   0   2]
KNN5 GA CV,0.36666666666666664,[],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[]
KNN7 GA,0.5333333333333333,[3 1 3 2 3 3 3 3 3 3 1 2 1 3 3],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[  1   0   2   0   2   1   0   0   0   1   0   0 254   0   2]
KNN7 GA CV,0.38333333333333336,[],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[]
SVC GA,0.26666666666666666,[3 2 2 2 2 2 2 2 3 3 2 3 1 2 1],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[  1   1   1   0   1   0 255 255   0   1   1   1 254 255   0]
SVC GA CV,0.35000000000000003,[],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[]
NB GA,0.3333333333333333,[3 2 1 3 2 3 2 2 2 3 1 2 3 1 1],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[  1   1   0   1   1   1 255 255 255   1   0   0   0 254   0]
NB GA CV,0.55,[],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[]
LR GA,0.4,[3 3 3 1 1 2 3 1 3 1 1 3 1 3 2],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[  1   2   2 255   0   0   0 254   0 255   0   1 254   0   1]
LR GA CV,0.5,[],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[]
MV,0.4,[3, 1, 3, 2, 3, 2, 3, 2, 1, 3, 2, 1, 3, 1, 1],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[ 1  0  2  0  2  0  0 -1 -2  1  1 -1  0 -2  0]
MV_GA,0.4666666666666667,[2, 1, 2, 2, 1, 1, 2, 2, 3, 3, 3, 2, 1, 1, 1],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[ 0  0  1  0  0 -1 -1 -1  0  1  2  0 -2 -2  0]
MV_ALL,0.4666666666666667,[3, 1, 3, 2, 2, 1, 3, 2, 3, 3, 1, 2, 1, 1, 1],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[ 1  0  2  0  1 -1  0 -1  0  1  0  0 -2 -2  0]
STACKING,0.4666666666666667,[3 1 1 2 2 2 1 1 3 3 1 1 1 1 1],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[  1   0   0   0   1   0 254 254   0   1   0 255 254 254   0]
OSTACKING,0.26666666666666666,[3 2 2 2 2 1 3 1 1 3 2 2 1 1 1],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[  1   1   1   0   1 255   0 254 254   1   1   0 254 254   0]
OSTACKING GA,0.5333333333333333,[3 1 1 2 2 2 3 2 3 2 2 3 2 1 1],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[  1   0   0   0   1   0   0 255   0   0   1   1 255 254   0]
OSTACKING ALL,0.5333333333333333,[3 1 1 2 2 2 3 2 3 2 2 3 2 1 1],[2 1 1 2 1 2 3 3 3 2 1 2 3 3 1],[  1   0   0   0   1   0   0 255   0   0   1   1 255 254   0]
