Classifier,Success Rate,Classifier Prediction,Test Labels,Sub Labels
LDA,0.4666666666666667,[2 2 1 3 1 2 2 2 2 2 1 2 2 2 2],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[255 255   0   1   0   0   0   1   0 255   0 255 255   0   1]
LDA CV,0.4333333333333333,[],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[]
KNN-5,0.4,[2 2 2 2 3 2 1 2 2 2 1 2 2 2 1],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[255 255   1   0   2   0 255   1   0 255   0 255 255   0   0]
KNN-7,0.4,[2 2 2 2 1 2 1 2 2 2 1 2 2 2 2],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[255 255   1   0   0   0 255   1   0 255   0 255 255   0   1]
SVC,0.26666666666666666,[2 2 2 3 3 2 1 2 2 2 1 1 2 2 2],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[255 255   1   1   2   0 255   1   0 255   0 254 255   0   1]
SVC CV,0.5833333333333333,[],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[]
NB,0.4,[2 2 2 1 1 2 1 2 2 2 1 2 2 2 1],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[255 255   1 255   0   0 255   1   0 255   0 255 255   0   0]
LR,0.4666666666666667,[2 2 1 3 1 2 2 2 2 2 1 2 2 2 2],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[255 255   0   1   0   0   0   1   0 255   0 255 255   0   1]
LR CV,0.4833333333333334,[],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[]
LDA GA,0.4,[2 2 2 2 1 2 2 2 3 2 1 1 2 1 1],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[255 255   1   0   0   0   0   1   1 255   0 254 255 255   0]
LDA GA CV,0.5666666666666667,[],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[]
KNN5 GA,0.4666666666666667,[2 2 2 2 1 2 2 1 2 2 1 1 2 1 2],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[255 255   1   0   0   0   0   0   0 255   0 254 255 255   1]
KNN5 GA CV,0.4833333333333333,[],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[]
KNN7 GA,0.4666666666666667,[1 1 3 3 1 3 3 1 2 1 1 3 3 2 2],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[254 254   2   1   0   1   1   0   0 254   0   0   0   0   1]
KNN7 GA CV,0.5666666666666667,[],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[]
SVC GA,0.4,[2 2 3 2 1 2 1 2 2 2 1 2 2 1 1],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[255 255   2   0   0   0 255   1   0 255   0 255 255 255   0]
SVC GA CV,0.5833333333333333,[],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[]
NB GA,0.4,[2 3 2 2 1 2 1 2 1 2 1 2 2 3 1],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[255   0   1   0   0   0 255   1 255 255   0 255 255   1   0]
NB GA CV,0.5833333333333333,[],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[]
LR GA,0.4666666666666667,[2 2 3 2 1 2 1 2 1 2 1 3 2 2 1],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[255 255   2   0   0   0 255   1 255 255   0   0 255   0   0]
LR GA CV,0.5,[],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[]
MV,0.26666666666666666,[2, 2, 2, 3, 3, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[-1 -1  1  1  2  0 -1  1  0 -1  0 -1 -1  0  1]
MV_GA,0.4,[2, 2, 3, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 1, 1],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[-1 -1  2  0  0  0 -1  1  0 -1  0 -1 -1 -1  0]
MV_ALL,0.4666666666666667,[2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[-1 -1  1  0  0  0 -1  1  0 -1  0 -1 -1  0  0]
STACKING,0.3333333333333333,[2 2 2 3 1 2 1 2 2 2 1 3 2 3 3],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[255 255   1   1   0   0 255   1   0 255   0   0 255   1   2]
OSTACKING,0.3333333333333333,[2 2 1 3 3 2 1 2 2 2 1 2 2 2 2],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[255 255   0   1   2   0 255   1   0 255   0 255 255   0   1]
OSTACKING GA,0.4666666666666667,[2 2 3 2 1 2 1 2 1 2 1 3 2 2 1],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[255 255   2   0   0   0 255   1 255 255   0   0 255   0   0]
OSTACKING ALL,0.4666666666666667,[2 2 1 3 1 2 1 2 2 2 1 2 2 2 1],[3 3 1 2 1 2 2 1 2 3 1 3 3 2 1],[255 255   0   1   0   0 255   1   0 255   0 255 255   0   0]
