Classifier,Success Rate,Classifier Prediction,Test Labels,Sub Labels
LDA,0.6666666666666666,[3 2 3 2 2 3 3 1 1 2 1 2 3 3 3],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[  1   1   0   0   0   0   0 255   0   0   0   1   0   0   2]
LDA CV,0.6666666666666667,[],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[]
KNN-5,0.6666666666666666,[3 2 2 2 2 3 3 1 1 2 1 1 3 3 3],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[  1   1 255   0   0   0   0 255   0   0   0   0   0   0   2]
KNN-7,0.6,[3 2 2 2 2 3 3 1 1 2 1 1 3 2 3],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[  1   1 255   0   0   0   0 255   0   0   0   0   0 255   2]
SVC,0.6666666666666666,[3 2 3 2 2 3 3 1 1 2 1 1 3 2 3],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[  1   1   0   0   0   0   0 255   0   0   0   0   0 255   2]
SVC CV,0.7,[],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[]
NB,0.6666666666666666,[2 2 3 3 2 3 3 1 1 2 1 1 3 2 3],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[  0   1   0   1   0   0   0 255   0   0   0   0   0 255   2]
LR,0.7333333333333333,[2 2 3 2 2 3 3 1 1 2 1 1 3 2 3],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[  0   1   0   0   0   0   0 255   0   0   0   0   0 255   2]
LR CV,0.7,[],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[]
LDA GA,0.6666666666666666,[2 2 2 3 2 3 3 2 1 2 1 1 3 2 2],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[  0   1 255   1   0   0   0   0   0   0   0   0   0 255   1]
LDA GA CV,0.6666666666666667,[],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[]
KNN5 GA,0.4,[3 3 3 3 1 3 2 1 1 1 1 1 2 2 1],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[  1   2   0   1 255   0 255 255   0 255   0   0 255 255   0]
KNN5 GA CV,0.6166666666666667,[],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[]
KNN7 GA,0.4666666666666667,[3 2 3 3 1 3 3 1 1 2 1 2 3 2 3],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[  1   1   0   1 255   0   0 255   0   0   0   1   0 255   2]
KNN7 GA CV,0.6666666666666666,[],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[]
SVC GA,0.3333333333333333,[3 2 2 3 3 3 3 1 1 1 1 1 2 2 3],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[  1   1 255   1   1   0   0 255   0 255   0   0 255 255   2]
SVC GA CV,0.6833333333333333,[],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[]
NB GA,0.6,[2 2 3 2 3 3 3 3 1 2 1 1 2 2 3],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[  0   1   0   0   1   0   0   1   0   0   0   0 255 255   2]
NB GA CV,0.7,[],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[]
LR GA,0.7333333333333333,[2 2 2 2 2 3 3 1 1 2 1 1 3 2 1],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[  0   1 255   0   0   0   0 255   0   0   0   0   0 255   0]
LR GA CV,0.6166666666666666,[],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[]
MV,0.6666666666666666,[3, 2, 3, 2, 2, 3, 3, 1, 1, 2, 1, 1, 3, 2, 3],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[ 1  1  0  0  0  0  0 -1  0  0  0  0  0 -1  2]
MV_GA,0.7333333333333333,[2, 2, 3, 2, 2, 3, 3, 1, 1, 2, 1, 1, 3, 2, 3],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[ 0  1  0  0  0  0  0 -1  0  0  0  0  0 -1  2]
MV_ALL,0.7333333333333333,[2, 2, 3, 2, 2, 3, 3, 1, 1, 2, 1, 1, 3, 2, 3],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[ 0  1  0  0  0  0  0 -1  0  0  0  0  0 -1  2]
STACKING,0.7333333333333333,[3 2 3 2 2 3 3 1 1 2 1 1 3 3 3],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[  1   1   0   0   0   0   0 255   0   0   0   0   0   0   2]
OSTACKING,0.7333333333333333,[3 2 3 2 2 3 3 1 1 2 1 1 3 3 3],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[  1   1   0   0   0   0   0 255   0   0   0   0   0   0   2]
OSTACKING GA,0.5333333333333333,[2 2 2 2 2 3 3 1 1 1 1 1 2 2 2],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[  0   1 255   0   0   0   0 255   0 255   0   0 255 255   1]
OSTACKING ALL,0.6,[3 2 3 2 2 3 3 1 1 1 1 1 3 2 3],[2 1 3 2 2 3 3 2 1 2 1 1 3 3 1],[  1   1   0   0   0   0   0 255   0 255   0   0   0 255   2]
