Classifier,Success Rate,Classifier Prediction,Test Labels,Sub Labels
LDA,0.4666666666666667,[3 2 1 2 2 3 2 2 2 2 2 2 1 1 2],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[  0   1 254   0   1   1   0   0 255   0 255   1   0   0 255]
LDA CV,0.5166666666666666,[],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[]
KNN-5,0.4,[2 1 1 2 2 2 3 2 2 1 2 2 1 1 2],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[255   0 254   0   1   0   1   0 255 255 255   1   0   0 255]
KNN-7,0.4,[2 1 1 2 2 2 3 2 2 1 2 2 1 1 2],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[255   0 254   0   1   0   1   0 255 255 255   1   0   0 255]
SVC,0.6,[2 1 1 2 1 2 3 2 2 2 3 2 1 1 2],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[255   0 254   0   0   0   1   0 255   0   0   1   0   0 255]
SVC CV,0.5666666666666667,[],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[]
NB,0.4,[2 2 3 2 1 2 2 3 2 1 2 2 2 1 2],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[255   1   0   0   0   0   0   1 255 255 255   1   1   0 255]
LR,0.4666666666666667,[3 2 1 2 2 3 2 2 2 2 2 2 1 1 2],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[  0   1 254   0   1   1   0   0 255   0 255   1   0   0 255]
LR CV,0.55,[],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[]
LDA GA,0.4666666666666667,[3 3 2 2 1 3 2 1 3 1 2 2 1 1 2],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[  0   2 255   0   0   1   0 255   0 255 255   1   0   0 255]
LDA GA CV,0.5666666666666667,[],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[]
KNN5 GA,0.4666666666666667,[2 1 2 2 1 2 3 1 3 3 2 2 1 1 2],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[255   0 255   0   0   0   1 255   0   1 255   1   0   0 255]
KNN5 GA CV,0.55,[],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[]
KNN7 GA,0.4,[2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[255   1 255   0   1   0   0   0 255   0 255   1   1   0 255]
KNN7 GA CV,0.5,[],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[]
SVC GA,0.5333333333333333,[2 1 3 2 3 3 2 1 3 3 2 2 1 1 3],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[255   0   0   0   2   1   0 255   0   1 255   1   0   0   0]
SVC GA CV,0.55,[],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[]
NB GA,0.4,[3 3 2 2 1 3 2 3 3 1 2 2 3 1 2],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[  0   2 255   0   0   1   0   1   0 255 255   1   2   0 255]
NB GA CV,0.6333333333333334,[],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[]
LR GA,0.4,[3 3 2 3 3 1 2 2 3 1 3 2 3 1 2],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[  0   2 255   1   2 255   0   0   0 255   0   1   2   0 255]
LR GA CV,0.5,[],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[]
MV,0.4,[2, 1, 1, 2, 2, 2, 3, 2, 2, 1, 2, 2, 1, 1, 2],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[-1  0 -2  0  1  0  1  0 -1 -1 -1  1  0  0 -1]
MV_GA,0.4666666666666667,[3, 3, 2, 2, 1, 3, 2, 1, 3, 1, 2, 2, 1, 1, 2],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[ 0  2 -1  0  0  1  0 -1  0 -1 -1  1  0  0 -1]
MV_ALL,0.4666666666666667,[3, 3, 2, 2, 1, 3, 2, 2, 2, 1, 2, 2, 1, 1, 2],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[ 0  2 -1  0  0  1  0  0 -1 -1 -1  1  0  0 -1]
STACKING,0.4,[2 1 1 2 3 2 3 2 2 3 2 2 1 1 2],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[255   0 254   0   2   0   1   0 255   1 255   1   0   0 255]
OSTACKING,0.5333333333333333,[2 2 2 2 1 2 3 2 2 2 3 2 1 1 2],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[255   1 255   0   0   0   1   0 255   0   0   1   0   0 255]
OSTACKING GA,0.5333333333333333,[3 3 2 3 2 2 2 1 3 2 3 2 1 1 2],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[  0   2 255   1   1   0   0 255   0   0   0   1   0   0 255]
OSTACKING ALL,0.5333333333333333,[3 3 2 3 2 2 3 2 3 2 3 2 1 1 2],[3 1 3 2 1 2 2 2 3 2 3 1 1 1 3],[  0   2 255   1   1   0   1   0   0   0   0   1   0   0 255]
